年月日,時分,採水位置,水温 (℃),ｐＨ,ＤＯ (mg/l),導電率 (ms/m),濁度 (度),ＣＯＤ (mg/l)
2020/01/01,01:00,流心,9.3,7.4,8.9,19.3,8.0,4.0
2020/01/01,02:00,流心,8.7,7.3,9.2,19.3,7.8,3.6
2020/01/01,03:00,流心,8.9,7.3,8.9,19.3,7.4,0.0
2020/01/01,04:00,流心,8.6,7.3,9.2,19.6,7.0,4.4
2020/01/01,05:00,流心,8.8,7.3,9.0,19.7,6.4,3.5
2020/01/01,06:00,流心,8.2,7.3,9.2,19.7,6.0,3.6
2020/01/01,07:00,流心,8.4,7.3,9.1,19.8,6.0,4.0
2020/01/01,08:00,流心,8.1,7.3,9.2,20.0,5.8,3.9
2020/01/01,09:00,流心,8.2,7.3,9.3,20.4,5.6,3.8
2020/01/01,10:00,流心,8.4,7.4,9.5,20.3,5.6,5.0
2020/01/01,11:00,流心,8.8,7.4,9.6,20.1,5.6,3.6
2020/01/01,12:00,流心,9.2,7.4,9.8,20.0,5.8,4.1
2020/01/01,13:00,流心,9.5,7.4,9.7,20.0,5.8,4.0
2020/01/01,14:00,流心,10.0,7.4,9.8,20.0,5.8,4.1
2020/01/01,15:00,流心,9.8,7.4,9.7,20.0,5.8,4.1
2020/01/01,16:00,流心,10.0,7.4,9.8,20.1,5.6,4.1
2020/01/01,17:00,流心,9.7,7.4,9.6,20.0,5.6,4.0
2020/01/01,18:00,流心,10.2,7.4,9.6,20.0,5.2,4.5
2020/01/01,19:00,流心,9.3,7.4,9.4,20.3,4.8,4.2
2020/01/01,20:00,流心,9.8,7.4,9.3,20.3,4.6,4.0
2020/01/01,21:00,流心,9.2,7.3,9.2,20.4,4.4,4.0
2020/01/01,22:00,流心,9.6,7.4,9.1,20.4,4.2,4.0
2020/01/01,23:00,流心,9.1,7.4,9.2,20.4,4.0,4.2
2020/01/01,24:00,流心,9.4,7.4,9.2,20.3,4.0,4.0
2020/01/02,01:00,流心,9.0,7.3,9.1,20.3,4.0,3.9
2020/01/02,02:00,流心,9.4,7.3,9.1,20.3,4.0,3.6
2020/01/02,03:00,流心,9.0,7.3,9.0,20.4,3.8,3.8
2020/01/02,04:00,流心,9.2,7.3,9.1,20.5,4.4,3.8
2020/01/02,05:00,流心,9.1,7.3,9.0,20.6,4.0,4.1
2020/01/02,06:00,流心,9.4,7.3,9.0,20.7,4.0,3.8
2020/01/02,07:00,流心,9.2,7.3,9.0,20.4,4.0,4.0
2020/01/02,08:00,流心,9.2,7.3,9.0,20.4,4.4,5.0
2020/01/02,09:00,流心,9.3,7.3,9.0,20.7,4.8,4.0
2020/01/02,10:00,流心,9.4,7.4,9.3,20.9,5.2,4.4
2020/01/02,11:00,流心,9.8,7.4,9.4,20.6,4.6,4.2
2020/01/02,12:00,流心,10.2,7.4,9.6,20.5,4.6,5.8
2020/01/02,13:00,流心,10.8,7.4,9.4,20.4,4.8,4.2
2020/01/02,14:00,流心,11.0,7.4,9.6,20.5,4.8,3.9
2020/01/02,15:00,流心,11.2,7.4,9.3,20.6,4.6,4.4
2020/01/02,16:00,流心,10.8,7.4,9.6,20.7,4.8,4.7
